meal name,image_url,ingredients,recipe_urls
Cookie dough pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/07/cookie-dough-pizza.jpg?itok=ELQdwwAh,"['Sugar', 'Sugar', 'Flour', 'Salt', 'Chocolate', 'Chips', 'Chocolate', 'Chocolate', 'marshmallows', 'butter', 'eggs']",/recipes/cookie-dough-pizza
"Chorizo, caper & rocket pizza",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--690472_11.jpg?itok=OopH3_CS,"['Pizza', 'Pizza', 'Cherry', 'tomato', 'chorizo', 'capers', 'rocket', 'olive oil']",/recipes/1506638/chorizo-caper-and-rocket-pizza
Caramelised onion & feta pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1075534_11.jpg?itok=KzI5xTzx,"['Garlic', 'Sugar', 'Feta', 'Cheese', 'Pizza', 'onion', 'butter', 'olive oil', 'rosemary']",/recipes/1060/caramelised-onion-and-feta-pizzas
Fast feta & aubergine pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1250_12.jpg?itok=sT3rnY5x,"['breads', 'Feta', 'Cheese', 'aubergines', 'mint']",/recipes/1613/fast-feta-and-aubergine-pizzas
Ten-minute tuna pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--2052_10.jpg?itok=hFAglRq8,"['Pizza', 'Tomato', 'Garlic', 'Cherry', 'olives', 'tomatoes', 'olive oil', 'capers', 'tuna', 'basil']",/recipes/2058/tenminute-tuna-pizza-
Cauliflower crust pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/cauliflower-crust-pizza.jpg?itok=fbyJ-o36,"['almonds', 'Tomato', 'Garlic', 'Onion', 'Mozzarella', 'Parmesan', 'Chilli', 'cauliflower', 'eggs', 'oregano', 'tomatoes', 'aubergine', 'olive oil', 'basil']",/recipes/cauliflower-crust-pizza
Roasted spring vegetable pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--492_11.jpg?itok=6VYuEUeL,"['Flour', 'Salt', 'Pepper', 'Passata', 'Mozzarella', 'Cherry', 'Tomato', 'yeast', 'olive oil', 'leek', 'olive oil', 'tomato', 'pea', 'Parmesan']",/recipes/1234/roasted-spring-vegetable-pizza
Garlic eyeballs with creamy chive dip,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--446464_11.jpg?itok=Tf6hBJas,"['Pizza', 'Garlic', 'Olive', 'Cream', 'Lemon', 'olive oil', 'flour', 'parsley', 'egg']",/recipes/873636/garlic-eyeballs-with-creamy-chive-dip
Cheap-as-chips veggie pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1096503_11.jpg?itok=cjnugggJ,"['Passata', 'flatbreads', 'Garlic', 'Mozzarella', 'Egg', 'Nutmeg', 'spinach', 'basil', 'Parmesan']",/recipes/2491643/cheapaschips-veggie-pizza
Cheesy onion pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--160480_11.jpg?itok=Q-Dk_YvO,"['Onion', 'Pizza', 'Cheese', 'olive oil', 'balsamic vinegar']",/recipes/4651/cheesy-onion-pizza
Bake-from-the-freezer pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--669467_11.jpg?itok=KZ8j828S,"['Bread', 'Pizza', 'Flour', 'Tomato', 'Pasta', 'Passata', 'Basil', 'Cherry', 'Mozzarella', 'Parmesan']",/recipes/1363653/bakefromthefreezer-pizzas
Sicilian pizza (sfincione),http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--986499_11.jpg?itok=BcoX9zoT,"['Yeast', 'Sugar', 'Bread', 'Salt', 'Pork', 'Sausage', 'Tomato', 'Cheese', 'flour', 'olive oil', 'ricotta', 'olive oil']",/recipes/2220690/sicilian-pizza-sfincione
Ham & ricotta pizzas with pesto,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--256462_11.jpg?itok=yZ5NjFqm,"['Tomato', 'Pizza', 'Ham', 'pasta', 'ricotta', 'pesto']",/recipes/448632/ham-and-ricotta-pizzas-with-pesto
Easy tomato pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--424794_12.jpg?itok=zxIDbqXE,"['Bread', 'Flour', 'Olive', 'Oil', 'Tomato', 'Passata', 'Garlic', 'Orange', 'Cheese', 'Parmesan', 'Parmesan', 'Rocket', 'Prosciutto', 'yeast', 'tomato']",/recipes/12389/easy-tomato-pizzas
Pizza baked potato,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizza-jackets.jpg?itok=qd345ga7,"['Baking', 'Potato', 'Onion', 'Garlic', 'Pepperoni', 'Tomato', 'Basil', 'Mozzarella', 'olive oil']",/recipes/pizza-baked-potato
Fig & prosciutto pizzettas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1066504_11.jpg?itok=nJ3b5An_,"['Mozzarella', 'Olive', 'Oil', 'Bread', 'Flour', 'Yeast', 'Salt', 'butter', 'shallot', 'Parmesan', 'fig', 'rocket', 'prosciutto', 'balsamic vinegar', 'olive oil']",/recipes/2411657/fig-and-prosciutto-pizzettas
Tricolore pizza with basil oil,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--10340_11.jpg?itok=F33TdMF6,"['Ciabatta', 'Bread', 'Basil', 'Lemon', 'Mozzarella', 'olive oil', 'avocado', 'tomato']",/recipes/6636/tricolore-pizza-with-basil-oil
Garlic pizza with tomato & mozzarella,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/garlic-pizza.jpg?itok=XqJ3N3kz,"['Pizza', 'Olive', 'Oil', 'Garlic', 'Cherry', 'Mozzarella', 'Basil', 'Olive', 'shallot', 'balsamic vinegar']",/recipes/garlic-pizza-tomato-mozzarella
Butternut & rosemary pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--19477_12.jpg?itok=NCc8xFSP,"['Bread', 'Squash', 'Onion', 'Sugar', 'Feta', 'Cheese', 'olive oil', 'rosemary', 'balsamic vinegar']",/recipes/9528/butternut-and-rosemary-pizza
Turkish pizza with spiced pomegranate beef & feta,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/turkishpizza.jpg?itok=vYiF7wHX,"['Bread', 'Garlic', 'Beef', 'Cumin', 'Cinnamon', 'Chilli', 'Tomato', 'Pomegranate', 'Molasses', 'peppers', 'Feta', 'Cheese', 'nuts', 'olive oil', 'onion']",/recipe/turkish-pizza-spiced-pomegranate-beef-feta
Smoking chilli chicken & sweetcorn pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizza_4.jpg?itok=DzWsgUPl,"['Chipotle', 'Pizza', 'Mozzarella', 'Pepper', 'Coriander', 'Fat', 'Chilli', 'Seeds', 'sweetcorn', 'chicken']",/recipes/smoking-chilli-chicken-sweetcorn-pizza
Sausage & tomato pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--7958_11.jpg?itok=Hz766pB5,"['Onion', 'Garlic', 'Cloves', 'Passata', 'Pizza', 'sausages', 'Cheese', 'olive oil', 'sugar', 'basil']",/recipes/4775/sausage-and-tomato-pizza
Polenta pizza with purple sprouting broccoli & mozzarella,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/03/polenta-pizza-with-purple-sprouting-broccoli-mozzarella.jpg?itok=SEC_NJ3F,"['Stock', 'Olive', 'Oil', 'Cherry', 'Garlic', 'Mozzarella', 'peppers', 'polenta', 'Parmesan', 'purple sprouting broccoli']",/recipes/polenta-pizza-purple-sprouting-broccoli-mozzarella
Potato & pesto pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/potato-pesto-pizza.jpg?itok=dF_amWoV,"['Ciabatta', 'Bread', 'Mozzarella', 'potatoes', 'olive oil', 'pesto', 'rocket']",/recipes/potato-pesto-pizza
Ciabatta pizzas with sticky onions,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--16152_11.jpg?itok=b7xH9F3C,"['Garlic', 'peppers', 'Ciabatta', 'Cheddar', 'olive oil', 'onion', 'rosemary', 'olives', 'Gruy\xe8re']",/recipes/8826/ciabatta-pizzas-with-sticky-onions
"Tuna, olive & rocket pizzas",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1233479_7.jpg?itok=skAkEORc,"['Pizza', 'Bread', 'Tomato', 'Oil', 'Oil', 'Flour', 'Mozzarella', 'Olive', 'Onion', 'tuna', 'caper', 'rocket']",/recipes/2940669/tuna-olive-and-rocket-pizzas
Cheesy courgette pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--320592_11.jpg?itok=BsKC1eHO,"['Pizza', 'Mozzarella', 'courgette', 'pasta', 'cheddar']",/recipes/590632/cheesy-courgette-pizza
Blue cheese & pancetta pizza with grilled peaches,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/peach-pizza.jpg?itok=0FXh8-4y,"['Pizza', 'Nectarine', 'Mozzarella', 'olive oil', 'peach', 'pancetta', 'gorgonzola', 'walnut', 'rocket']",/recipes/blue-cheese-pancetta-pizza-grilled-peaches
Spicy prawn pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1222475_11.jpg?itok=2942GM0T,"['Bread', 'Olive', 'Oil', 'Flour', 'Plum', 'Tomato', 'Tomato', 'Garlic', 'Mascarpone', 'Cherry', 'Tomato', 'Chilli', 'olives', 'Olive', 'Oil', 'sugar', 'Parmesan', 'prawn', 'rosemary']",/recipes/2875678/spicy-prawn-pizzas
Mini muffin pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--2822_11.jpg?itok=K3PGv5Um,"['Tomato', 'Pesto', 'mushrooms', 'Ham', 'Mozzarella', 'Cheddar', 'Cheese', 'Cress', 'olive oil', 'onion', 'courgette', 'salami', 'lettuce', 'mustard', 'vinaigrette']",/recipes/1076/mini-muffin-pizzas
Very simple Margherita pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--925468_10.jpg?itok=JFhUemyq,"['Flour', 'Passata', 'Mozzarella', 'Salad', 'olive oil', 'yeast', 'sugar', 'Parmesan', 'basil']",/recipes/2037645/very-simple-margherita-pizza
Pepper & tuna panini pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--9148_11.jpg?itok=EocAA6Qn,"['Ciabatta', 'Pepper', 'Tomato', 'Mozzarella', 'parsley', 'tuna']",/recipes/5594/pepper-and-tuna-panini-pizzas
Egg & rocket pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/eggrocketpizzas_5729.jpg?itok=gjnvMPdF,"['Wraps', 'Pepper', 'Tomato', 'Dill', 'Onion', 'olive oil', 'tomatoes', 'parsley', 'eggs', 'rocket']",/recipes/egg-rocket-pizzas
No-cook goat's cheese pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--339078_12.jpg?itok=a8I3QAHB,"['Focaccia', 'Ciabatta', 'peppers', 'Olive', 'Oil', 'Cheese', 'olives', 'pesto', 'watercress']",/recipes/3144/nocook-goats-cheese-pizza
Frying pan pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--5198_10.jpg?itok=_QduMM8e,"['Pepper', 'Onion', 'Flour', 'Tomato', 'courgette', 'olive oil', 'pasta', 'cheddar']",/recipes/3412/frying-pan-pizza
