club,address,link,site
 The 78,10-14 Kelvinhaugh Street; G3 8NU; Scotland,/club.aspx?id=42866,http://www.the78cafebar.com/
 Riverside,100 Stobcross Road; G3 8QQ,/club.aspx?id=64301,None
 The Halt 2,160 Woodlands Road; G3 6LF; Scotland,/club.aspx?id=35354,None
 Retrospect,73 Bath Street,/club.aspx?id=48946,http://www.retrospectglasgow.co.uk/
 Bar Petite,"244 Bath St,  G2 4JW",/club.aspx?id=27522,None
 Strata,"45 Queen Street, G1 3EH",/club.aspx?id=71203,http://www.facebook.com/strata.queenst?fref=ts
 The Admiral,72a Waterloo Street; G2 7DA,/club.aspx?id=8741,http://www.theadmiralbar.com
 Bar Bloc,117 Bath Street; G2 2SZ; Scotland,/club.aspx?id=20769,http://www.bloc.ru
 Republic Beir Hof,323 Sauchiehall Street; G2 3HW; Scotland,/club.aspx?id=14572,http://www.republicbierhalle.com/bier_hoffe/index.html
 Sub Club,22 Jamaica St; G1 4QD; Scotland,/club.aspx?id=1918,http://www.subclub.co.uk
 GOMA - Gallery of Modern Art,"Royal exchange square, G1 3AH",/club.aspx?id=101884,http://www.glasgowlife.org.uk/museums/goma/Pages/default.aspx
 Barras Art & Design Centre,"54 Calton Entry, Scotland,  G40 2SB",/club.aspx?id=73418,http://barrasartanddesign.com/
 Keller Club,"46a Queen Street, G13DS",/club.aspx?id=80702,http://www.fabriqglasgow.com
 Audio,"14 Midland Street, G1 4PP",/club.aspx?id=56608,None
 Bamboo,"51a West Regent Street, Lanarkshire G2 2AE",/club.aspx?id=74871,http://www.bamboonightclub.co.uk
 Lemon N Lime,"437 Sauchiehall St, G2 3LG",/club.aspx?id=42732,http://www.lemonnlimebar.com/
 O2 ABC Glasgow 1,300 Sauchiehall Street; G2 3JA; Scotland,/club.aspx?id=14075,http://www.abcglasgow.com/
 Pivo Pivo,15 Waterloo Street; G2 6AY; Scotland,/club.aspx?id=14653,http://www.myspace.com/pivopivo
 Braehead Arena & Waterfront,Kings Inch Road; G51 4BN; Scotland,/club.aspx?id=2076,http://www.braehead-arena.co.uk
 The Winchester Club,49 Bell Street; G1 1NX; Scotland,/club.aspx?id=9565,None
 The Poetry Club,"100 Eastvale Place, G3 8QG",/club.aspx?id=80365,http://www.swg3.tv/
 Ad Lib,111 Hope Street; G2 6LL; Scotland,/club.aspx?id=7558,http://www.adlibglasgow.com
 Home,"80 Albion Street, G1 1NY",/club.aspx?id=66123,https://www.facebook.com/barhomeglasgow
 Clyde Cruises,"GLASGOW SCIENCE CENTRE, 50 PACIFIC QUAY, GLASGOW, G51 1EA",/club.aspx?id=80154,None
 King Tut's Wah Wah Hut,272A St Vincent Street; G2 5RL; Scotland,/club.aspx?id=9541,http://www.kingtuts.co.uk
 Trader Joe's,325 Hope Street G2 3PT,/club.aspx?id=67681,http://www.traderjoesbar.co.uk
 Afro-Caribbean Centre,"66 Oswald Street, Merchant City,  G1 4PL",/club.aspx?id=80174,http://africancaribbeancentre.blogspot.co.uk/
 The Barrowland Ballroom,244 Gallowgate; G4 0TT; Scotland,/club.aspx?id=27041,http://www.glasgow-barrowland.com/
 The Bungo,"17-21 Nithsdale Rd, G41 2AL",/club.aspx?id=77419,http://www.thebungo.co.uk
 Saint Lukes,"17 Bain Street, Calton, G40 2 JZ",/club.aspx?id=109808,http://www.stlukesglasgow.com
 The 13th Note,"Notecave - Downstairs, 50-60 King Street, G1 5QT",/club.aspx?id=20322,http://www.the13thnote.co.uk
 Big Joint,1084 South Street; G14 0AP; Scotland,/club.aspx?id=15977,None
