test1,2,True,266,23 : 41,613,1062,0,177
test1,2,True,27972,23 : 40,613,1062,0,177
test1,2,True,1421,23 : 40,613,1062,0,177
test1,2,True,218,23 : 40,613,1062,0,177
test1,2,True,256,23 : 41,613,1062,0,177
test1,2,True,186,23 : 40,613,1062,0,177
test1,2,True,198,23 : 40,613,1062,0,177
test1,2,True,205,23 : 40,613,1062,0,177
test1,2,True,212,23 : 41,613,1062,0,177
test1,2,True,190,23 : 40,613,1062,0,177
test1,2,True,177,23 : 40,613,1062,0,177
test1,2,True,1115,23 : 41,613,1062,0,177
test1,2,True,1096,23 : 40,613,1062,0,177
test1,2,True,940,23 : 41,613,1062,0,177
test1,2,True,208,23 : 40,613,1062,0,177
test1,2,True,211,23 : 40,613,1062,0,177
test1,2,True,190,23 : 40,613,1062,0,177
test1,2,True,192,23 : 41,613,1062,0,177
test1,2,True,233,23 : 41,613,1062,0,177
test1,2,True,897,23 : 41,613,1062,0,177
test1,2,True,962,23 : 41,613,1062,0,177
test1,2,True,247,23 : 41,613,1062,0,177
test1,2,True,962,23 : 41,613,1062,0,177
test1,2,True,528,23 : 41,613,1062,0,177
test1,2,True,379,23 : 41,613,1062,0,177
test1,2,True,233,23 : 41,613,1062,0,177
test1,2,True,205,23 : 41,613,1062,0,177
test1,2,True,369,23 : 41,613,1062,0,177
test1,2,True,405,23 : 41,613,1062,0,177
test1,2,True,973,23 : 41,613,1062,0,177
test1,2,True,448,23 : 41,613,1062,0,177
test1,2,True,386,23 : 41,613,1062,0,177
test1,2,True,229,23 : 41,613,1062,0,177
test1,2,True,228,23 : 41,613,1062,0,177
test1,2,True,195,23 : 41,613,1062,0,177
test1,2,True,478,23 : 41,613,1062,0,177
test1,2,True,392,23 : 41,613,1062,0,177
test1,2,True,1704,23 : 41,613,1062,0,177
test1,2,True,271,23 : 41,613,1062,0,177
test1,2,True,729,23 : 41,613,1062,0,177
test1,2,True,229,23 : 41,613,1062,0,177
test1,2,True,1380,23 : 41,613,1062,0,177
test1,2,True,325,23 : 41,613,1062,0,177
test1,2,True,525,23 : 41,613,1062,0,177
test1,2,True,198,23 : 41,613,1062,0,177
test1,2,True,259,23 : 41,613,1062,0,177
test1,2,True,358,23 : 41,613,1062,0,177
test1,2,True,1817,23 : 41,613,1062,0,177
test1,2,True,232,23 : 41,613,1062,0,177
test1,2,True,219,23 : 41,613,1062,0,177
test1,2,True,1089,23 : 41,613,1062,0,177
test1,2,True,1168,23 : 41,613,1062,0,177
test1,2,True,395,23 : 41,613,1062,0,177
test1,2,True,568,23 : 41,613,1062,0,177
test1,2,True,1828,23 : 41,613,1062,0,177
test1,2,True,255,23 : 41,613,1062,0,177
test1,2,True,220,23 : 41,613,1062,0,177
test1,2,True,620,23 : 41,613,1062,0,177
test1,2,True,219,23 : 41,613,1062,0,177
test1,2,True,207,23 : 41,613,1062,0,177
test1,2,True,244,23 : 41,613,1062,0,177
test1,2,True,307,23 : 41,613,1062,0,177
test1,2,True,594,23 : 42,613,1062,0,177
test1,2,True,1185,23 : 41,613,1062,0,177
test1,2,True,677,23 : 41,613,1062,0,177
test1,2,True,256,23 : 41,613,1062,0,177
test1,2,True,1197,23 : 41,613,1062,0,177
test1,2,True,231,23 : 41,613,1062,0,177
test1,2,True,454,23 : 41,613,1062,0,177
test1,2,True,1485,23 : 41,613,1062,0,177
test1,2,True,293,23 : 41,613,1062,0,177
test1,2,True,443,23 : 41,613,1062,0,177
test1,2,True,1490,23 : 41,613,1062,0,177
test1,2,True,10071,23 : 41,613,1062,0,177
test1,2,True,998,23 : 42,613,1062,0,177
test1,2,True,4530,23 : 42,613,1062,0,177
test1,2,True,4183,23 : 40,613,1062,0,177
test1,2,True,553,23 : 42,613,1062,0,177
test1,2,True,204,23 : 40,613,1062,0,177
test1,2,True,22908,23 : 42,613,1062,0,177
test1,2,True,229,23 : 40,613,1062,0,177
test1,2,True,196,23 : 40,613,1062,0,177
test1,2,True,841,23 : 41,613,1062,0,177
test1,2,True,876,23 : 41,613,1062,0,177
test1,2,True,964,23 : 41,613,1062,0,177
test1,2,True,254,23 : 41,613,1062,0,177
test1,2,True,976,23 : 41,613,1062,0,177
test1,2,True,223,23 : 41,613,1062,0,177
test1,2,True,331,23 : 41,613,1062,0,177
test1,2,True,455,23 : 41,613,1062,0,177
test1,2,True,344,23 : 41,613,1062,0,177
test1,2,True,1241,23 : 41,613,1062,0,177
test1,2,True,240,23 : 41,613,1062,0,177
test1,2,True,520,23 : 41,613,1062,0,177
test1,2,True,640,23 : 41,613,1062,0,177
test1,2,True,219,23 : 41,613,1062,0,177
test1,2,True,206,23 : 41,613,1062,0,177
test1,2,True,1261,23 : 41,613,1062,0,177
test1,2,True,217,23 : 41,613,1062,0,177
test1,2,True,221,23 : 41,613,1062,0,177
test1,2,True,196,23 : 41,613,1062,0,177
test1,2,True,196,23 : 41,613,1062,0,177
test1,2,True,193,23 : 41,613,1062,0,177
test1,2,True,1064,23 : 41,613,1062,0,177
test1,2,True,5212,23 : 41,613,1062,0,177
test1,2,True,2355,23 : 41,613,1062,0,177
test1,2,True,319,23 : 41,613,1062,0,177
test1,2,True,246,23 : 41,613,1062,0,177
test1,2,True,284,23 : 41,613,1062,0,177
