meal name,image_url,ingredients,recipe_urls
"Mozzarella, ham & pesto pizzas",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--4264_11.jpg?itok=5VV58O6m,"['breads', 'Mozzarella', 'Ham', u'pesto']",/recipes/2970/mozzarella-ham-and-pesto-pizzas
Mini pizza quiches,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/mini-pizza-quiches.jpg?itok=055XHX4b,"['Wraps', 'Vegetables', 'Cherry', 'Basil', u'eggs', u'salami']",/recipes/mini-pizza-quiches
Cookie dough pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/07/cookie-dough-pizza.jpg?itok=ELQdwwAh,"['Sugar', 'Sugar', 'Flour', 'Salt', 'Chocolate', 'Chips', 'Chocolate', 'Chocolate', 'marshmallows', u'butter', u'eggs']",/recipes/cookie-dough-pizza
"Chorizo, caper & rocket pizza",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--690472_11.jpg?itok=OopH3_CS,"['Pizza', 'Pizza', 'Cherry', u'tomato', u'chorizo', u'capers', u'rocket', u'olive oil']",/recipes/1506638/chorizo-caper-and-rocket-pizza
Caramelised onion & feta pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1075534_11.jpg?itok=KzI5xTzx,"['Garlic', 'Sugar', 'Feta', 'Cheese', 'Pizza', u'onion', u'butter', u'olive oil', u'rosemary']",/recipes/1060/caramelised-onion-and-feta-pizzas
Fast feta & aubergine pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1250_12.jpg?itok=sT3rnY5x,"['breads', 'Feta', 'Cheese', u'aubergines', u'mint']",/recipes/1613/fast-feta-and-aubergine-pizzas
Ten-minute tuna pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--2052_10.jpg?itok=hFAglRq8,"['Pizza', 'Tomato', 'Garlic', 'Cherry', u'olives', u'tomatoes', u'olive oil', u'capers', u'tuna', u'basil']",/recipes/2058/tenminute-tuna-pizza-
Cauliflower crust pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/cauliflower-crust-pizza.jpg?itok=fbyJ-o36,"['almonds', 'Tomato', 'Garlic', 'Onion', 'Mozzarella', 'Parmesan', 'Chilli', u'cauliflower', u'eggs', u'oregano', u'tomatoes', u'aubergine', u'olive oil', u'basil']",/recipes/cauliflower-crust-pizza
Roasted spring vegetable pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--492_11.jpg?itok=6VYuEUeL,"['Flour', 'Salt', 'Pepper', 'Passata', 'Mozzarella', 'Cherry', 'Tomato', u'yeast', u'olive oil', u'leek', u'olive oil', u'tomato', u'pea', u'Parmesan']",/recipes/1234/roasted-spring-vegetable-pizza
Garlic eyeballs with creamy chive dip,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--446464_11.jpg?itok=Tf6hBJas,"['Pizza', 'Garlic', 'Olive', 'Cream', 'Lemon', u'olive oil', u'flour', u'parsley', u'egg']",/recipes/873636/garlic-eyeballs-with-creamy-chive-dip
